group,group_definition,n,subset_accuracy_exact_match,hamming_accuracy,micro_precision,micro_recall,micro_F1,macro_precision,macro_recall,macro_F1,weighted_F1,avg_true_labels_per_row,avg_predicted_labels_per_row,subset_accuracy_exact_match_gap_vs_no_identity_mention,hamming_accuracy_gap_vs_no_identity_mention,micro_precision_gap_vs_no_identity_mention,micro_recall_gap_vs_no_identity_mention,micro_F1_gap_vs_no_identity_mention,macro_precision_gap_vs_no_identity_mention,macro_recall_gap_vs_no_identity_mention,macro_F1_gap_vs_no_identity_mention,weighted_F1_gap_vs_no_identity_mention,avg_predicted_labels_per_row_gap_vs_no_identity_mention
race_latino,identity_term_mention_from_jigsaw_comment_text,33,0.9090909090909091,0.9646464646464646,0.3333333333333333,0.75,0.46153846153846156,0.16666666666666666,0.125,0.14285714285714285,0.8571428571428571,0.12121212121212122,0.2727272727272727,-0.02563261970599695,-0.021852263620843138,-0.4402156676181415,-0.09467532467532469,-0.3460105824148536,-0.4754603155594962,-0.5847323666588182,-0.529883720690524,0.04739779232275676,0.05301367389796363
disability,identity_term_mention_from_jigsaw_comment_text,90,0.8333333333333334,0.9648148148148148,0.5652173913043478,0.5909090909090909,0.5777777777777777,0.31388888888888894,0.30357142857142855,0.30357142857142855,0.6082251082251081,0.24444444444444444,0.25555555555555554,-0.10139019546357264,-0.021683913452492987,-0.20833160964712705,-0.25376623376623375,-0.22977126617553745,-0.3282380933372739,-0.4061609380873897,-0.3691694349762383,-0.20151995659499222,0.03584195672624646
nationality_immigration,identity_term_mention_from_jigsaw_comment_text,83,0.9397590361445783,0.9899598393574297,0.8571428571428571,0.6,0.7058823529411765,0.4166666666666667,0.43333333333333335,0.40277777777777773,0.6416666666666667,0.12048192771084337,0.08433734939759036,0.00503550734767233,0.0034611110901219266,0.08359385619138227,-0.2446753246753247,-0.10166669101213865,-0.22546031555949614,-0.2763990333254849,-0.2699630857698891,-0.16807839815343362,-0.13537624943171872
race_arab_middle_eastern,identity_term_mention_from_jigsaw_comment_text,129,0.9224806201550387,0.9819121447028424,0.5384615384615384,0.875,0.6666666666666666,0.36309523809523814,0.6011904761904762,0.4378851540616247,0.6802521008403362,0.12403100775193798,0.20155038759689922,-0.012242908641867278,-0.004586583564465396,-0.2350874624899364,0.03032467532467531,-0.14088237728664854,-0.2790317441309247,-0.10854189046834206,-0.23485570948604212,-0.12949296397976418,-0.018163211232409854
religion_hindu,identity_term_mention_from_jigsaw_comment_text,47,0.9148936170212766,0.9822695035460993,0.6363636363636364,0.875,0.7368421052631579,0.5277777777777778,0.5833333333333334,0.5222222222222223,0.775,0.1702127659574468,0.23404255319148937,-0.019829911775629427,-0.004229224721208458,-0.13718536458783848,0.03032467532467531,-0.07070693869015732,-0.11434920444838503,-0.12639903332548486,-0.15051864132544457,-0.03474506482010031,0.01432895436218029
religion_christian,identity_term_mention_from_jigsaw_comment_text,377,0.8859416445623343,0.9712643678160919,0.6696428571428571,0.7281553398058253,0.6976744186046512,0.4966257896692679,0.5556682111282717,0.5223045023252747,0.7033432768765846,0.27320954907161804,0.29708222811671087,-0.04878188423457175,-0.015234360451215845,-0.10390614380861773,-0.11651998486949944,-0.10987462534866399,-0.14550119255689492,-0.15406415553054653,-0.15043636122239212,-0.10640178794351574,0.07736862928740179
race_white,identity_term_mention_from_jigsaw_comment_text,187,0.8609625668449198,0.9652406417112299,0.5915492957746479,0.8076923076923077,0.6829268292682927,0.48295985060690944,0.8580368906455863,0.5780824114157447,0.7054889554889553,0.27807486631016043,0.37967914438502676,-0.07376096195198623,-0.02125808655607786,-0.18199970517682695,-0.03698301698301698,-0.12462221468502244,-0.1591671316192534,0.14830452398676808,-0.09465845213192214,-0.10425610933114504,0.15996554555571768
religion_jewish,identity_term_mention_from_jigsaw_comment_text,249,0.8393574297188755,0.965194109772423,0.7204301075268817,0.7204301075268817,0.7204301075268817,0.594804318488529,0.581712962962963,0.5853884711779449,0.7173072466111515,0.37349397590361444,0.37349397590361444,-0.09536609907803051,-0.02130461849488474,-0.05311889342459308,-0.12424521714844294,-0.08711893642643342,-0.04732266373763383,-0.12801940369585518,-0.08735239236972192,-0.09243781820894881,0.15378037707430536
gender_male,identity_term_mention_from_jigsaw_comment_text,2922,0.9089664613278576,0.9798083504449008,0.714078374455733,0.7580893682588598,0.7354260089686099,0.5751418086744174,0.6337821398424733,0.6020685064306454,0.7372017778972194,0.22210814510609173,0.23579739904175223,-0.025757067469048378,-0.006690377822407001,-0.05947062649574186,-0.08658595641646494,-0.07212303498470529,-0.06698517355174538,-0.07595022681634489,-0.07067235711702147,-0.07254328692288092,0.016083800212443156
race_asian,identity_term_mention_from_jigsaw_comment_text,306,0.934640522875817,0.9874727668845316,0.7241379310344828,0.8571428571428571,0.7850467289719626,0.6236111111111111,0.7616959064327485,0.6711732711732713,0.8057846914989771,0.16013071895424835,0.1895424836601307,-8.300592108900773e-05,0.0009740386172237825,-0.04941106991699207,0.012467532467532405,-0.022502314981352578,-0.018515871115051707,0.05196353977393031,-0.0015675923743955211,-0.003960373321123201,-0.030171115169178364
no_identity_mention,identity_term_mention_from_jigsaw_comment_text,19134,0.934723528796906,0.9864987282673078,0.7735490009514748,0.8446753246753247,0.8075490439533152,0.6421269822261628,0.7097323666588182,0.6727408635476668,0.8097450648201003,0.20121250130657467,0.21971359882930908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
any_identity_mention,identity_term_mention_from_jigsaw_comment_text,4802,0.8940024989587672,0.9757045675413022,0.7365982792852416,0.7865724381625442,0.7607655502392344,0.6344682119194248,0.7369132528914465,0.6778293309912745,0.7640074694863871,0.2946688879633486,0.31466055810079135,-0.040721029838138856,-0.010794160726005586,-0.036950721666233255,-0.058102886512780505,-0.04678349371408075,-0.007658770306738005,0.027180886232628265,0.0050884674436076915,-0.045737595333713243,0.09494695927148228
all_comments,identity_term_mention_from_jigsaw_comment_text,23936,0.9265541443850267,0.9843332219251337,0.7637795275590551,0.8290598290598291,0.7950819672131147,0.6497816516129475,0.7296368520925783,0.6860518608141613,0.7976737577402302,0.219961564171123,0.23876169786096257,-0.00816938441187931,-0.0021655063421740506,-0.009769473392419736,-0.015615495615495578,-0.012467076740200422,0.007654669386784718,0.01990448543376011,0.013310997266494429,-0.012071307079870142,0.019048099031653498
race_black,identity_term_mention_from_jigsaw_comment_text,253,0.8063241106719368,0.950592885375494,0.7540983606557377,0.8214285714285714,0.7863247863247863,0.6665940766550523,0.8658770630468743,0.7277702874201691,0.7919544334804947,0.6640316205533597,0.7233201581027668,-0.12839941812496924,-0.035905842891813755,-0.019450640295737176,-0.023246753246753293,-0.021224257628528864,0.024467094428889502,0.15614469638805606,0.055029423872502314,-0.017790631339605678,0.5036065592734578
gender_female,identity_term_mention_from_jigsaw_comment_text,1072,0.9001865671641791,0.9791666666666666,0.7713414634146342,0.8108974358974359,0.790625,0.6816270199739035,0.8157199135135539,0.7320804041257872,0.7924512041660094,0.291044776119403,0.30597014925373134,-0.034536961632726904,-0.007332061600641149,-0.0022075375368406647,-0.03377788877788879,-0.01692404395331515,0.03950003774774069,0.10598754685473566,0.05933954057812041,-0.017293860654090887,0.08625655042442226
sexuality_lgbtq,identity_term_mention_from_jigsaw_comment_text,179,0.547486033519553,0.8761638733705773,0.739938080495356,0.8298611111111112,0.7823240589198036,0.6956129332073958,0.7827886141945789,0.734652874526862,0.7859498863718035,1.6089385474860336,1.8044692737430168,-0.38723749527735296,-0.11033485489673045,-0.0336109204561188,-0.01481421356421353,-0.02522498503351156,0.05348595098123299,0.07305624753576068,0.06191201097919519,-0.023795178448296816,1.5847556749137077
religion_muslim,identity_term_mention_from_jigsaw_comment_text,170,0.9058823529411765,0.9813725490196078,0.8113207547169812,0.8269230769230769,0.819047619047619,0.745632798573975,0.8900772430184195,0.7765434084319534,0.8256892230576441,0.3058823529411765,0.31176470588235294,-0.02884117585572954,-0.00512617924769998,0.037771753765506344,-0.01775224775224782,0.011498575094303853,0.1035058163478122,0.18034487635960128,0.10380254488428653,0.015944158237543804,0.09205110705304387
